Trial	ObjID	LocID	FB	Task	RT	Stim
1	51	1	1	-1	676	4015	
2	81	2	1	-1	1095	10022	
3	66	3	1	-1	596	16031	
4	5	4	1	-1	629	22040	
5	58	2	1	-1	562	28050	
6	11	4	1	-1	546	34059	
7	10	3	1	-1	563	40068	
8	7	1	1	-1	396	46078	
9	62	1	1	-2	496	52087	
10	22	3	1	-2	362	58097	
11	90	4	1	-2	396	64106	
12	41	2	1	-2	363	70115	
13	25	2	1	-2	329	76125	
14	74	3	1	-2	396	82134	
15	78	1	1	-2	646	88143	
16	77	4	1	-2	412	94153	
17	44	1	1	-1	396	100162	
18	13	4	1	-1	396	106172	
19	68	2	1	-1	496	112181	
20	84	3	1	-1	513	118190	
21	72	1	1	-1	412	124200	
22	75	3	1	-1	496	130209	
23	45	4	1	-1	329	136218	
24	36	2	1	-1	1500	142228	
25	83	3	1	-2	396	148237	
26	55	4	1	-2	512	154247	
27	19	2	1	-2	429	160256	
28	87	1	1	-2	330	166265	
29	54	1	1	-2	462	172275	
30	17	2	1	-2	363	178284	
31	27	3	1	-2	329	184293	
32	95	4	1	-2	396	190303	
33	56	2	0	-1	413	196312	
34	52	1	0	-1	495	202322	
35	91	4	0	-1	496	208331	
36	59	3	0	-1	429	214341	
37	82	1	0	-1	446	220350	
38	3	3	0	-1	496	226359	
39	8	2	0	-1	445	232369	
40	65	4	0	-1	412	238378	
41	48	2	1	-2	496	244387	
42	70	1	1	-2	645	250397	
