Trial	ObjID	LocID	FB	Task	RT	Stim
1	76	3	1	-1	1500	4010	
2	54	2	1	-1	1500	10017	
Trial	ObjID	LocID	FB	Task	RT	Stim
1	96	4	1	-1	923	4007	
2	17	1	1	-1	562	10011	
3	51	2	1	-1	795	16021	
4	52	3	1	-1	829	22031	
5	30	3	1	-1	712	28041	
6	11	2	1	-1	512	34051	
7	93	4	1	-1	496	40060	
8	73	1	1	-1	746	46070	
9	6	2	1	-2	746	52080	
10	62	3	1	-2	796	58090	
11	72	4	1	-2	1095	64100	
12	31	1	1	-2	646	70110	
13	14	1	1	-2	662	76120	
14	18	4	1	-2	662	82130	
15	71	2	1	-2	712	88140	
16	32	3	1	-2	645	94150	
17	80	3	1	-1	595	100160	
18	8	1	1	-1	596	106169	
19	37	2	1	-1	746	112179	
20	89	4	1	-1	713	118189	
21	87	1	1	-1	713	124199	
22	12	2	1	-1	829	130209	
23	81	3	1	-1	646	136219	
24	78	4	1	-1	895	142229	
25	19	2	1	-2	762	148239	
26	92	3	1	-2	962	154249	
27	57	4	1	-2	629	160259	
28	4	1	1	-2	662	166269	
29	29	3	1	-2	795	172278	
30	28	1	1	-2	796	178288	
31	55	2	1	-2	745	184299	
32	75	4	1	-2	696	190308	
33	68	4	0	-1	563	196318	
34	85	2	0	-1	646	202328	
35	94	3	0	-1	912	208338	
36	23	1	0	-1	596	214348	
37	49	3	0	-1	812	220358	
38	46	1	0	-1	929	226368	
39	9	2	0	-1	662	232378	
40	7	4	0	-1	1012	238388	
41	39	3	1	-2	713	244397	
42	47	4	1	-2	1046	250407	
43	53	2	1	-2	696	256417	
44	33	1	1	-2	912	262427	
45	65	4	1	-2	896	268437	
46	82	3	1	-2	596	274447	
47	76	2	1	-2	596	280457	
48	70	1	1	-2	662	286467	
49	42	1	0	-1	512	292477	
50	34	4	0	-1	462	298487	
51	3	2	0	-1	695	304497	
52	59	3	0	-1	695	310507	
53	69	3	0	-1	1028	316516	
54	74	1	0	-1	596	322526	
55	58	2	0	-1	596	328536	
