Trial	ObjID	LocID	FB	Task	RT	Stim
1	44	1	1	-1	525	4007	
2	27	3	1	-1	1062	10014	
3	66	4	1	-1	746	16023	
4	69	2	1	-1	563	22032	
5	25	3	1	-1	729	28042	
6	85	1	1	-1	696	34051	
7	87	2	1	-1	612	40061	
8	24	4	1	-1	1012	46070	
9	88	2	1	-2	911	52079	
10	68	3	1	-2	529	58089	
11	70	1	1	-2	796	64098	
12	20	4	1	-2	662	70108	
13	75	4	1	-2	696	76117	
14	34	2	1	-2	529	82126	
15	56	3	1	-2	629	88136	
16	35	1	1	-2	513	94145	
17	59	4	1	-1	512	100155	
18	47	2	1	-1	612	106164	
19	83	1	1	-1	495	112173	
20	21	3	1	-1	562	118183	
21	74	3	1	-1	629	124192	
22	46	2	1	-1	512	130202	
23	5	1	1	-1	596	136211	
24	77	4	1	-1	545	142221	
25	60	2	1	-2	729	148230	
26	94	1	1	-2	396	154239	
27	38	3	1	-2	396	160249	
28	79	4	1	-2	546	166258	
29	48	1	1	-2	529	172268	
30	8	4	1	-2	496	178277	
31	1	2	1	-2	430	184286	
32	9	3	1	-2	446	190296	
33	31	1	0	-1	346	196305	
34	2	4	0	-1	395	202314	
35	11	2	0	-1	412	208324	
36	43	3	0	-1	396	214333	
37	73	2	0	-1	429	220343	
38	45	3	0	-1	396	226352	
39	13	1	0	-1	395	232361	
40	39	4	0	-1	462	238371	
41	62	1	1	-2	429	244380	
42	26	2	1	-2	396	250390	
43	57	4	1	-2	463	256399	
44	40	3	1	-2	512	262409	
45	28	4	1	-2	596	268418	
46	19	1	1	-2	413	274427	
47	3	3	1	-2	612	280437	
48	17	2	1	-2	463	286446	
49	89	2	0	-1	462	292456	
50	37	1	0	-1	812	298465	
51	84	3	0	-1	1500	304474	
52	16	4	0	-1	396	310484	
53	53	3	0	-1	1145	316493	
