Trial	ObjID	LocID	FB	Task	RT	Stim
1	86	1	1	-1	793	4004	
2	44	2	1	-1	830	10010	
3	36	4	1	-1	614	16020	
4	71	3	1	-1	514	22030	
5	56	4	1	-1	513	28040	
6	24	2	1	-1	430	34050	
7	80	1	1	-1	581	40059	
8	23	3	1	-1	664	46069	
9	5	1	1	-2	697	52079	
10	62	2	1	-2	697	58089	
11	43	4	1	-2	896	64099	
12	17	3	1	-2	497	70109	
13	69	3	1	-2	630	76118	
14	65	2	1	-2	614	82128	
15	19	1	1	-2	664	88138	
16	30	4	1	-2	913	94148	
17	7	4	1	-1	996	100158	
18	78	2	1	-1	697	106168	
19	60	3	1	-1	630	112178	
20	92	1	1	-1	664	118187	
21	73	2	1	-1	614	124197	
22	16	4	1	-1	697	130207	
23	13	1	1	-1	597	136217	
24	1	3	1	-1	697	142227	
25	76	1	1	-2	563	148237	
26	20	2	1	-2	597	154247	
27	37	3	1	-2	564	160256	
28	96	4	1	-2	564	166266	
29	70	4	1	-2	647	172276	
30	81	3	1	-2	697	178286	
31	6	2	1	-2	630	184296	
32	9	1	1	-2	697	190306	
33	4	1	0	-1	596	196315	
34	42	4	0	-1	731	202325	
35	27	3	0	-1	764	208335	
36	34	2	0	-1	1213	214345	
37	15	4	0	-1	963	220355	
38	79	1	0	-1	697	226365	
